state,district,year,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
andhra pradesh,kurnool,2025,12,2233,109,7,5284,22402,18073,14045
andhra pradesh,kv rangareddy,2025,9,6,1,0,3,38,34,52
andhra pradesh,kv rangareddy,2025,10,5,3,0,9,30,47,39
andhra pradesh,kv rangareddy,2025,11,1,0,0,11,29,37,35
andhra pradesh,kv rangareddy,2025,12,3,0,0,9,37,64,44
andhra pradesh,kvrangareddy,2025,9,26,3,0,5,108,33,177
andhra pradesh,kvrangareddy,2025,10,11,6,0,7,85,52,164
andhra pradesh,kvrangareddy,2025,11,12,3,0,28,134,29,138
andhra pradesh,kvrangareddy,2025,12,6,2,0,8,143,44,114
andhra pradesh,mahabub nagar,2025,9,472,200,0,64,3115,128,3755
andhra pradesh,mahabub nagar,2025,10,270,102,0,68,2547,174,3184
andhra pradesh,mahabub nagar,2025,11,231,106,0,183,3230,162,2468
andhra pradesh,mahabub nagar,2025,12,106,24,0,103,3293,105,2423
andhra pradesh,mahabubnagar,2025,9,3,0,0,0,11,11,31
andhra pradesh,mahabubnagar,2025,10,1,0,0,4,15,14,20
andhra pradesh,mahabubnagar,2025,12,3,0,0,3,28,8,18
andhra pradesh,mahbubnagar,2025,9,202,85,0,129,1847,299,1922
andhra pradesh,mahbubnagar,2025,10,124,65,0,232,1517,540,1789
andhra pradesh,mahbubnagar,2025,11,129,43,0,480,2102,452,1429
andhra pradesh,mahbubnagar,2025,12,56,18,0,244,2044,375,1784
andhra pradesh,medak,2025,9,465,84,1,213,2032,843,2763
andhra pradesh,medak,2025,10,277,67,0,323,1713,1051,2312
andhra pradesh,medak,2025,11,288,66,0,583,2990,924,1929
andhra pradesh,medak,2025,12,146,12,0,377,3130,989,2019
andhra pradesh,n t r,2025,9,242,36,17,416,3627,329,638
andhra pradesh,n t r,2025,10,149,20,5,457,2417,711,442
andhra pradesh,n t r,2025,11,218,31,18,731,4631,879,484
andhra pradesh,n t r,2025,12,181,10,6,772,6019,661,617
andhra pradesh,nalgonda,2025,9,385,99,0,181,5811,490,4210
andhra pradesh,nalgonda,2025,10,240,50,0,295,5097,992,4806
andhra pradesh,nalgonda,2025,11,226,53,0,663,8156,859,3644
andhra pradesh,nalgonda,2025,12,100,14,0,338,6917,933,3577
andhra pradesh,nandyal,2025,9,221,6,3,217,1555,220,388
andhra pradesh,nandyal,2025,10,194,16,0,299,1512,855,407
andhra pradesh,nandyal,2025,11,264,12,2,595,2495,814,415
andhra pradesh,nandyal,2025,12,181,5,1,631,3161,840,505
andhra pradesh,nellore,2025,9,1477,292,2,876,9852,3391,5019
andhra pradesh,nellore,2025,10,884,174,0,1122,7225,9921,5115
andhra pradesh,nellore,2025,11,1311,202,0,2318,14267,11289,6681
andhra pradesh,nellore,2025,12,939,86,0,1851,13553,7405,6996
andhra pradesh,nizamabad,2025,9,167,28,0,85,871,368,961
andhra pradesh,nizamabad,2025,10,138,19,0,122,756,641,1058
andhra pradesh,nizamabad,2025,11,104,21,0,280,1382,540,896
andhra pradesh,nizamabad,2025,12,44,3,0,188,1328,532,1015
andhra pradesh,palnadu,2025,9,239,34,11,247,1869,192,348
andhra pradesh,palnadu,2025,10,148,17,1,331,1389,593,264
andhra pradesh,palnadu,2025,11,167,14,7,531,2644,686,346
andhra pradesh,palnadu,2025,12,205,11,6,558,3594,610,443
andhra pradesh,parvathipuram manyam,2025,9,162,11,4,96,848,149,432
andhra pradesh,parvathipuram manyam,2025,10,103,14,2,214,886,320,431
andhra pradesh,parvathipuram manyam,2025,11,106,9,0,379,1475,541,460
andhra pradesh,parvathipuram manyam,2025,12,93,2,2,383,1873,397,667
andhra pradesh,prakasam,2025,7,91,108,38,232,1052,8732,9994
andhra pradesh,prakasam,2025,9,2197,479,13,1440,14937,4352,6116
andhra pradesh,prakasam,2025,10,1290,217,2,2312,11395,10066,7699
andhra pradesh,prakasam,2025,11,1633,246,5,4706,21278,13488,8594
andhra pradesh,prakasam,2025,12,1194,107,3,3757,22180,11605,9523
andhra pradesh,rangareddi,2025,9,503,132,0,381,2888,1240,4559
andhra pradesh,rangareddi,2025,10,355,120,0,607,2654,2018,3354
andhra pradesh,rangareddi,2025,11,375,122,0,1403,4711,1739,3607
andhra pradesh,rangareddi,2025,12,246,31,0,715,5383,1848,5218
andhra pradesh,spsr nellore,2025,3,43,44,29,0,0,0,0
andhra pradesh,spsr nellore,2025,6,742,405,201,0,0,0,0
andhra pradesh,spsr nellore,2025,7,382,264,73,0,0,0,0
andhra pradesh,sri potti sriramulu nellore,2025,9,251,224,83,353,2469,299,319
andhra pradesh,sri potti sriramulu nellore,2025,10,128,134,70,275,1569,1008,224
andhra pradesh,sri potti sriramulu nellore,2025,11,195,187,103,623,3447,1036,300
andhra pradesh,sri potti sriramulu nellore,2025,12,115,77,47,676,4580,724,381
andhra pradesh,sri sathya sai,2025,9,240,14,9,250,1802,185,412
andhra pradesh,sri sathya sai,2025,10,200,9,1,396,1628,738,439
andhra pradesh,sri sathya sai,2025,11,239,13,3,800,3008,577,567
andhra pradesh,sri sathya sai,2025,12,200,4,6,765,4482,474,705
andhra pradesh,srikakulam,2025,9,1339,53,5,1605,11473,3417,5782
andhra pradesh,srikakulam,2025,10,861,34,1,3065,7763,11802,6536
andhra pradesh,srikakulam,2025,11,1185,34,0,5318,15113,11031,6435
andhra pradesh,srikakulam,2025,12,772,14,2,3737,16294,9120,8483
andhra pradesh,tirupati,2025,9,223,310,84,377,2762,296,375
andhra pradesh,tirupati,2025,10,130,83,20,350,1617,658,331
andhra pradesh,tirupati,2025,11,223,209,76,685,3999,868,431
andhra pradesh,tirupati,2025,12,226,87,48,870,5545,602,539
andhra pradesh,visakhapatanam,2025,6,186,28,12,0,0,0,0
andhra pradesh,visakhapatnam,2025,9,2358,185,8,1834,15181,9267,9802
andhra pradesh,visakhapatnam,2025,10,1525,88,1,2007,10396,12702,8441
andhra pradesh,visakhapatnam,2025,11,2065,124,14,4145,20905,20111,10754
andhra pradesh,visakhapatnam,2025,12,1740,63,7,3693,23909,16861,13639
andhra pradesh,vizianagaram,2025,9,1220,72,2,845,8074,2908,5242
andhra pradesh,vizianagaram,2025,10,739,40,0,1528,6242,7728,5582
andhra pradesh,vizianagaram,2025,11,1012,33,1,2660,11212,11576,6105
andhra pradesh,vizianagaram,2025,12,724,13,0,2445,12644,10043,8271
andhra pradesh,warangal,2025,9,329,60,0,359,5109,1506,5246
andhra pradesh,warangal,2025,10,231,63,0,629,4165,2137,3776
andhra pradesh,warangal,2025,11,193,58,0,1222,7889,1713,4116
andhra pradesh,warangal,2025,12,105,20,0,667,7831,1555,4302
andhra pradesh,west godavari,2025,9,1871,128,6,1149,14790,4989,7097
andhra pradesh,west godavari,2025,10,1015,91,6,1635,9707,14249,6405
andhra pradesh,west godavari,2025,11,1579,89,7,3334,18781,15633,7745
andhra pradesh,west godavari,2025,12,1103,35,5,2848,20378,12900,9890
andhra pradesh,y s r,2025,9,213,30,8,310,2383,215,353
andhra pradesh,y s r,2025,10,151,6,1,309,1609,585,237
andhra pradesh,y s r,2025,11,228,13,10,559,3286,678,288
andhra pradesh,y s r,2025,12,146,3,14,570,3893,709,473
arunachal pradesh,anjaw,2025,9,16,5,0,37,171,50,28
arunachal pradesh,anjaw,2025,10,1,2,0,20,50,34,24
arunachal pradesh,anjaw,2025,11,3,4,3,27,103,184,36
arunachal pradesh,anjaw,2025,12,3,0,0,20,98,85,38
arunachal pradesh,changlang,2025,9,288,136,5,327,2017,762,514
arunachal pradesh,changlang,2025,10,76,117,1,72,477,255,212
arunachal pradesh,changlang,2025,11,66,45,7,144,702,1265,234
arunachal pradesh,changlang,2025,12,56,6,0,74,653,886,215
arunachal pradesh,dibang valley,2025,9,2,2,0,1,40,10,9
arunachal pradesh,dibang valley,2025,10,3,1,0,9,10,27,5
arunachal pradesh,dibang valley,2025,11,1,0,0,8,41,168,24
arunachal pradesh,dibang valley,2025,12,1,0,0,10,41,14,9
arunachal pradesh,east kameng,2025,9,47,29,0,126,614,396,263
arunachal pradesh,east kameng,2025,10,18,21,0,53,190,280,154
arunachal pradesh,east kameng,2025,11,14,16,14,44,167,564,117
arunachal pradesh,east kameng,2025,12,9,13,0,69,159,199,48
arunachal pradesh,east siang,2025,9,29,27,0,135,615,152,96
arunachal pradesh,east siang,2025,10,21,21,0,93,406,281,98
arunachal pradesh,east siang,2025,11,23,29,2,106,471,539,133
arunachal pradesh,east siang,2025,12,7,9,0,70,437,493,95
arunachal pradesh,kamle,2025,9,2,18,0,43,190,6,17
arunachal pradesh,kamle,2025,10,0,1,0,8,8,3,2
arunachal pradesh,kamle,2025,11,0,5,2,10,50,8,12
arunachal pradesh,kamle,2025,12,1,1,0,3,6,2,2
arunachal pradesh,kra daadi,2025,9,7,27,0,53,84,75,37
arunachal pradesh,kra daadi,2025,10,7,15,0,27,48,53,22
arunachal pradesh,kra daadi,2025,11,3,9,4,20,53,34,24
arunachal pradesh,kra daadi,2025,12,1,8,0,19,79,67,19
arunachal pradesh,kurung kumey,2025,9,7,19,0,49,89,134,132
arunachal pradesh,kurung kumey,2025,10,7,11,0,20,34,118,51
arunachal pradesh,kurung kumey,2025,11,3,12,12,26,75,312,50
arunachal pradesh,kurung kumey,2025,12,2,2,0,11,31,141,18
arunachal pradesh,leparada,2025,9,0,1,0,2,5,3,0
arunachal pradesh,leparada,2025,11,0,0,1,3,7,14,1
arunachal pradesh,leparada,2025,12,0,1,0,1,3,3,0
arunachal pradesh,lohit,2025,9,30,18,0,61,441,141,175
arunachal pradesh,lohit,2025,10,18,23,0,26,171,196,96
arunachal pradesh,lohit,2025,11,17,11,1,55,363,317,100
arunachal pradesh,lohit,2025,12,37,11,0,40,445,448,266
arunachal pradesh,longding,2025,7,46,322,33,0,0,157,181
arunachal pradesh,longding,2025,9,61,269,0,96,453,224,109
arunachal pradesh,longding,2025,10,12,59,0,37,107,123,46
arunachal pradesh,longding,2025,11,17,63,4,49,175,258,64
arunachal pradesh,longding,2025,12,5,6,0,36,202,102,73
arunachal pradesh,lower dibang valley,2025,9,24,19,0,35,221,96,81
arunachal pradesh,lower dibang valley,2025,10,17,11,0,43,139,270,77
arunachal pradesh,lower dibang valley,2025,11,7,14,2,39,210,291,72
arunachal pradesh,lower dibang valley,2025,12,10,5,0,33,152,172,97
arunachal pradesh,lower siang,2025,9,6,6,0,15,80,27,13
arunachal pradesh,lower siang,2025,10,0,4,0,7,26,87,9
arunachal pradesh,lower siang,2025,11,4,7,3,14,43,182,7
arunachal pradesh,lower siang,2025,12,0,1,0,12,54,25,3
arunachal pradesh,lower subansiri,2025,9,19,25,0,51,375,180,116
arunachal pradesh,lower subansiri,2025,10,6,16,0,36,217,280,96
arunachal pradesh,lower subansiri,2025,11,18,10,0,43,273,107,75
arunachal pradesh,lower subansiri,2025,12,7,4,0,27,178,110,44
arunachal pradesh,namsai,2025,9,32,29,0,79,500,167,211
arunachal pradesh,namsai,2025,10,20,15,1,35,196,79,102
arunachal pradesh,namsai,2025,11,22,3,0,28,354,965,111
arunachal pradesh,namsai,2025,12,21,7,0,29,311,582,155
arunachal pradesh,pakke kessang,2025,9,1,1,0,7,19,7,21
arunachal pradesh,pakke kessang,2025,10,1,0,0,2,19,4,7
arunachal pradesh,pakke kessang,2025,11,0,0,1,4,28,5,10
arunachal pradesh,papum pare,2025,9,72,87,0,171,825,968,409
arunachal pradesh,papum pare,2025,10,56,66,0,144,528,513,275
arunachal pradesh,papum pare,2025,11,49,63,5,171,789,376,309
arunachal pradesh,papum pare,2025,12,24,25,0,121,699,568,207
arunachal pradesh,shiyomi,2025,9,5,0,0,11,28,11,13
arunachal pradesh,shiyomi,2025,10,2,5,0,9,21,12,7
arunachal pradesh,shiyomi,2025,11,1,15,5,11,100,66,167
arunachal pradesh,shiyomi,2025,12,0,2,0,12,46,33,40
arunachal pradesh,siang,2025,9,31,43,0,58,150,105,26
arunachal pradesh,siang,2025,10,4,11,0,25,80,48,23
arunachal pradesh,siang,2025,11,2,6,4,41,91,191,27
arunachal pradesh,siang,2025,12,2,0,0,26,122,134,33
arunachal pradesh,tawang,2025,9,56,14,0,72,188,114,47
arunachal pradesh,tawang,2025,10,20,10,2,33,92,450,43
arunachal pradesh,tawang,2025,11,16,13,5,36,157,376,29
arunachal pradesh,tawang,2025,12,12,6,0,41,188,326,47
arunachal pradesh,tirap,2025,9,16,10,0,12,176,115,57
arunachal pradesh,tirap,2025,10,19,9,0,11,107,447,44
arunachal pradesh,tirap,2025,11,20,14,1,29,185,254,40
arunachal pradesh,tirap,2025,12,4,6,0,26,191,88,44
arunachal pradesh,upper siang,2025,9,10,5,0,49,533,65,53
arunachal pradesh,upper siang,2025,10,6,9,0,46,240,137,55
arunachal pradesh,upper siang,2025,11,3,5,1,45,137,251,55
arunachal pradesh,upper siang,2025,12,2,2,0,47,172,395,41
arunachal pradesh,upper subansiri,2025,9,34,22,0,87,184,202,131
arunachal pradesh,upper subansiri,2025,10,14,16,1,54,109,205,77
arunachal pradesh,upper subansiri,2025,11,11,11,11,49,175,475,68
arunachal pradesh,upper subansiri,2025,12,17,6,0,51,164,203,119
arunachal pradesh,west kameng,2025,7,43,30,10,0,0,203,388
arunachal pradesh,west kameng,2025,9,46,35,1,126,339,369,196
arunachal pradesh,west kameng,2025,10,32,14,0,81,321,283,161
arunachal pradesh,west kameng,2025,11,20,19,7,66,365,256,231
arunachal pradesh,west kameng,2025,12,16,5,0,77,343,816,240
arunachal pradesh,west siang,2025,9,45,35,0,199,796,476,131
arunachal pradesh,west siang,2025,10,27,16,0,59,287,300,106
arunachal pradesh,west siang,2025,11,21,21,2,67,425,1100,80
arunachal pradesh,west siang,2025,12,17,8,0,86,367,238,83
assam,bajali,2025,9,7,5,0,15,210,2,7
assam,bajali,2025,10,4,0,0,3,82,0,3
assam,bajali,2025,11,3,3,2,17,160,1,2
assam,bajali,2025,12,5,0,0,22,335,3,5
assam,baksa,2025,3,11,14,13,397,4438,1333,527
assam,baksa,2025,4,408,483,187,0,0,2598,474
assam,baksa,2025,5,37,25,20,0,0,1398,596
assam,baksa,2025,6,28,12,12,0,0,687,453
assam,baksa,2025,7,110,71,39,0,0,871,527
assam,baksa,2025,9,493,215,1,288,2192,805,335
assam,baksa,2025,10,408,128,90,108,1777,759,1359
assam,baksa,2025,11,322,138,25,184,2642,1796,597
assam,baksa,2025,12,303,93,13,369,4617,1355,985
assam,barpeta,2025,3,24,34,10,821,9181,8751,2053
assam,barpeta,2025,4,138,54,23,0,0,9902,2067
assam,barpeta,2025,5,90,83,10,0,0,7973,2201
assam,barpeta,2025,6,699,376,104,0,0,5269,2303
assam,barpeta,2025,7,3310,895,184,678,5327,3080,2135
assam,barpeta,2025,9,2848,843,11,1066,9856,7988,2103
assam,barpeta,2025,10,1303,408,25,540,6060,10294,7012
assam,barpeta,2025,11,1286,394,158,787,9011,8078,3943
assam,barpeta,2025,12,847,219,7,1086,14729,5057,5212
assam,biswanath,2025,4,104,114,32,0,0,1463,323
assam,biswanath,2025,9,215,120,2,173,1906,693,208
assam,biswanath,2025,10,148,72,1,78,1331,397,935
assam,biswanath,2025,11,203,100,33,136,1664,584,274
assam,biswanath,2025,12,119,58,8,230,2548,935,423
assam,bongaigaon,2025,3,25,33,31,699,8681,3011,1170
assam,bongaigaon,2025,4,221,87,61,348,4007,4512,1135
assam,bongaigaon,2025,5,110,41,15,0,0,2359,946
assam,bongaigaon,2025,6,33,14,14,0,0,1466,1039
assam,bongaigaon,2025,7,236,51,16,636,5760,1549,1261
assam,bongaigaon,2025,9,734,161,6,502,4784,1938,772
assam,bongaigaon,2025,10,313,81,28,278,2713,4038,2546
assam,bongaigaon,2025,11,385,95,14,348,4129,3207,1380
assam,bongaigaon,2025,12,267,63,40,507,5732,2553,1726
assam,cachar,2025,4,988,461,299,0,0,9483,2866
assam,cachar,2025,6,847,584,201,0,0,2385,2077
assam,cachar,2025,7,4026,1357,490,154,1628,4048,3312
assam,cachar,2025,9,2579,871,13,1027,12108,5501,2305
assam,cachar,2025,10,1150,427,304,672,7908,4234,3870
assam,cachar,2025,11,1167,540,177,954,9936,3629,2069
assam,cachar,2025,12,717,273,43,1037,11361,6771,3214
assam,charaideo,2025,4,91,50,164,0,0,385,166
assam,charaideo,2025,5,29,11,10,0,0,384,209
assam,charaideo,2025,9,202,97,0,198,1986,1400,222
assam,charaideo,2025,10,106,63,0,89,1666,548,343
assam,charaideo,2025,11,144,80,1,167,1707,594,206
assam,charaideo,2025,12,87,35,19,164,1838,541,292
assam,chirang,2025,3,12,29,15,179,1711,1611,679
assam,chirang,2025,4,189,199,179,0,0,2597,633
assam,chirang,2025,7,893,364,52,0,0,1496,766
assam,chirang,2025,9,335,175,1,196,1898,639,487
assam,chirang,2025,10,145,83,1,140,1945,2070,2074
assam,chirang,2025,11,223,135,2,288,2515,2961,977
assam,chirang,2025,12,216,86,14,372,4153,2555,1909
assam,darrang,2025,4,654,340,270,0,0,3709,1180
assam,darrang,2025,5,87,53,308,0,0,1534,785
assam,darrang,2025,6,63,25,10,0,0,1105,1010
assam,darrang,2025,7,190,56,11,0,0,1682,1168
assam,darrang,2025,9,1221,556,7,923,5467,1772,735
assam,darrang,2025,10,672,306,107,441,3962,1420,1646
assam,darrang,2025,11,762,325,575,490,3900,1789,998
assam,darrang,2025,12,741,253,3,672,5984,2566,1561
assam,dhemaji,2025,3,20,46,19,534,5979,1622,834
assam,dhemaji,2025,4,179,176,52,0,0,1532,642
assam,dhemaji,2025,5,264,174,153,0,0,1031,682
assam,dhemaji,2025,6,135,126,55,0,0,779,658
assam,dhemaji,2025,7,1625,576,337,0,0,1187,908
assam,dhemaji,2025,9,566,274,66,448,3981,2033,532
assam,dhemaji,2025,10,267,140,257,248,3376,1034,2110
assam,dhemaji,2025,11,441,175,211,290,2994,1266,711
assam,dhemaji,2025,12,367,159,41,407,4092,2010,1159
assam,dhubri,2025,3,89,229,98,1070,10824,6765,1655
assam,dhubri,2025,4,998,654,80,0,0,9246,1767
assam,dhubri,2025,6,323,198,24,184,2014,2047,1607
assam,dhubri,2025,7,774,306,27,695,5012,3790,2218
assam,dhubri,2025,9,2776,1048,5,1812,16503,3958,1337
assam,dhubri,2025,10,1260,458,108,611,7475,2540,4306
assam,dhubri,2025,11,1264,592,22,953,10470,3503,1830
assam,dhubri,2025,12,948,364,1,1860,21316,5809,3160
assam,dibrugarh,2025,3,10,12,14,338,5542,1444,2315
assam,dibrugarh,2025,4,179,149,186,0,0,2860,2275
assam,dibrugarh,2025,5,140,95,149,0,0,1337,1609
assam,dibrugarh,2025,6,413,127,134,0,0,1441,1138
assam,dibrugarh,2025,7,1455,488,541,0,0,2277,1507
assam,dibrugarh,2025,9,652,306,52,524,6071,1789,868
assam,dibrugarh,2025,10,362,174,144,250,3338,776,734
assam,dibrugarh,2025,11,409,226,218,381,4835,1584,696
assam,dibrugarh,2025,12,275,98,54,381,4859,1462,623
assam,dima hasao,2025,6,33,28,10,0,0,0,0
assam,dima hasao,2025,7,83,51,14,0,0,0,0
assam,dima hasao,2025,9,1,10,2,2,47,1,2
assam,dima hasao,2025,10,0,7,2,1,35,2,3
assam,dima hasao,2025,11,1,5,0,1,59,3,4
assam,dima hasao,2025,12,1,2,0,12,123,5,5
assam,goalpara,2025,4,587,294,283,0,0,2740,746
assam,goalpara,2025,5,412,253,116,0,0,1264,658
assam,goalpara,2025,6,17,43,20,0,0,953,949
assam,goalpara,2025,7,2119,590,189,917,5700,1551,1115
assam,goalpara,2025,9,1671,448,29,718,6764,1668,823
assam,goalpara,2025,10,750,224,22,352,3851,2492,2277
assam,goalpara,2025,11,794,244,48,660,5400,2397,1146
assam,goalpara,2025,12,531,124,90,910,8066,3241,2155
assam,golaghat,2025,4,568,501,144,0,0,1210,763
assam,golaghat,2025,5,807,826,230,0,0,808,785
assam,golaghat,2025,6,561,502,202,0,0,860,774
assam,golaghat,2025,7,1617,1002,850,0,0,1256,936
assam,golaghat,2025,9,907,457,64,465,4886,1459,651
assam,golaghat,2025,10,297,223,216,223,3544,1089,1290
assam,golaghat,2025,11,434,347,212,340,4317,2247,901
assam,golaghat,2025,12,346,189,3,383,4763,2736,981
assam,hailakandi,2025,4,242,143,78,0,0,1165,482
assam,hailakandi,2025,7,683,287,46,76,703,2935,923
assam,hailakandi,2025,9,1295,468,1,511,4321,1861,596
assam,hailakandi,2025,10,562,176,116,335,3019,742,1513
